alpha 	 VyazovkinE 	 OzawaE 	 FridmanE
0.281	123.130977153778	133.622054951318	75.2581538591344	
0.282	122.959315776825	133.451645008636	76.4444010411036	
0.283	122.798383235931	133.291479154012	76.3454779625864	
0.284	122.638046741486	133.131746465764	76.2468298182395	
0.285	122.47771024704	132.972445266633	76.1484555064645	
0.286	122.31856584549	132.813573888779	76.0503539323032	
0.287	122.158825397491	132.655130671243	75.9525240053023	
0.288	122.000277042389	132.497113961741	75.8549646412012	
0.289	121.841728687286	132.339522117065	75.814885354574	
0.29	121.683776378632	132.18235350043	76.0253580139253	
0.291	121.526420116425	132.025930628243	75.8048130814937	
0.292	121.372640132904	131.872460315406	72.737724505981	
0.293	121.218860149384	131.719435247453	69.4803235800706	
0.294	121.065080165863	131.566824331494	66.3524025542422	
0.295	120.891630649567	131.393927393554	65.905745775418	
0.296	120.715796947479	131.218765308824	65.8110951334314	
0.297	120.54055929184	131.044129278578	65.7167360985534	
0.298	120.3653216362	130.870016999457	65.6226673553388	
0.299	120.191276073456	130.696426182378	66.8081618146103	
0.3	120.017230510712	130.523354550865	69.3640866555545	
0.301	119.858086109161	130.364843618109	70.293283378256	
0.302	119.706690311432	130.213996528132	70.2359341863991	
0.303	119.555294513702	130.063714936947	70.1473095849786	
0.304	119.405090808868	129.913818564358	70.0589213640158	
0.305	119.254887104034	129.764306011675	69.9707686220128	
0.306	119.1046833992	129.615175886621	69.8828504614244	
0.307	118.955671787262	129.466426803152	69.7951659897359	
0.308	118.806064128876	129.318057380779	69.7077143175623	
0.309	118.657648563385	129.170066246416	69.801585179275	
0.31	118.509232997894	129.022452032391	70.0000172589548	
0.311	118.363201618195	128.87693212828	68.9877643095522	
0.312	118.217766284943	128.732522513978	67.2698813410349	
0.313	118.073523044586	128.588471423266	65.5949230390941	
0.314	117.928683757782	128.444598136826	63.9736319473527	
0.315	117.77251958847	128.289305854402	63.8881363393562	
0.316	117.616951465607	128.134426974795	63.8028798714198	
0.317	117.461979389191	127.979959939759	63.7178615863669	
0.318	117.307007312775	127.825903199158	63.6330805321331	
0.319	117.152631282806	127.672255208167	63.426057723772	
0.32	116.998851299286	127.519014430799	63.1187453267032	
0.321	116.844475269318	127.365048574012	62.9494587852588	
0.322	116.689503192902	127.210882930706	62.8655431074026	
0.323	116.535127162933	127.057130623936	62.7825845609014	
0.324	116.381347179413	126.903790074763	62.701502440488	
0.325	116.227567195892	126.750863680571	62.6200650245653	
0.326	116.07438325882	126.598357725582	62.5370903477015	
0.327	115.921199321747	126.446259073731	62.4543473994121	
0.328	115.76920747757	126.294566172548	62.371835248111	
0.329	115.617215633392	126.143277477186	61.8865544396147	
0.33	115.465819835663	125.992391449771	61.0761336527209	
0.331	115.310847759247	125.838167880378	60.7233779187417	
0.332	115.154087543488	125.682453387246	61.2999974897434	
0.333	114.998519420624	125.52717157571	62.374794129549	
0.334	114.84295129776	125.372320705125	63.5395248785761	
0.335	114.687383174896	125.217899043352	64.6750249615648	
0.336	114.538967609406	125.06973183309	65.0226391247463	
0.337	114.394128322601	124.925509019305	64.9050675963521	
0.338	114.249289035797	124.781418684729	64.8227362185748	
0.339	114.104449748993	124.637699146744	65.4379340700575	
0.34	113.960802555084	124.494349049997	66.4022531159733	
0.341	113.823115825653	124.357846821022	66.4606480001827	
0.342	113.687813282013	124.222639762692	66.3800847335309	
0.343	113.551914691925	124.08775480434	66.2997246088802	
0.344	113.416612148285	123.953190886378	66.2195669071323	
0.345	113.281905651093	123.818946955221	66.1404245439685	
0.346	113.1471991539	123.685021960363	66.0951974219924	
0.347	113.013088703156	123.551414855245	66.1529879739578	
0.348	112.878978252411	123.418337822076	66.1787411232359	
0.349	112.74665594101	123.286305415818	65.8502592426809	
0.35	112.61373758316	123.154597423806	65.3922154851559	
0.351	112.479627132416	123.02098987699	65.2398762074635	
0.352	112.344920635223	122.887196178094	65.0489676825683	
0.353	112.210810184479	122.753738131104	64.7239733516596	
0.354	112.077295780182	122.62061450529	64.3625307852933	
0.355	111.943781375885	122.487824074807	64.0029810007891	
0.356	111.809074878693	122.354052869508	63.8225255885393	
0.357	111.6743683815	122.219845583434	63.7594955269864	
0.358	111.539661884308	122.085976959949	63.8118120322723	
0.359	111.405551433563	121.952445750898	64.7323744123322	
0.36	111.272633075714	121.819916031007	65.8843579620674	
0.361	111.146867275238	121.695146178433	65.9706778939991	
0.362	111.022889614105	121.571736699323	65.9005524200602	
0.363	110.898911952972	121.448624274769	65.8305951477201	
0.364	110.775530338287	121.32580784063	65.7608054747937	
0.365	110.652148723602	121.203286336626	65.691182801645	
0.366	110.529363155365	121.081058708399	65.6217265312037	
0.367	110.406577587128	120.95912390589	65.5524360695381	
0.368	110.284388065338	120.837480885051	65.4833108257815	
0.369	110.162198543549	120.716128605653	64.8350433755678	
0.37	110.040605068207	120.595066033119	63.6973723255848	
0.371	109.914243221283	120.469474233135	63.20506021966	
0.372	109.785497188568	120.341135408736	62.8170004232434	
0.373	109.656751155853	120.213188149363	61.423819006393	
0.374	109.528601169586	120.086017262369	59.6776247309696	
0.375	109.401047229767	119.959162212412	57.9735099239345	
0.376	109.269917011261	119.828618552241	56.8618779835079	
0.377	109.131634235382	119.69095724967	56.793540182961	
0.378	108.993947505951	119.553664899304	56.725384561983	
0.379	108.85626077652	119.416740031834	57.5286969866083	
0.38	108.719170093536	119.280181185373	59.0131363228517	
0.381	108.589231967926	119.151377811731	59.4607271402819	
0.382	108.46346616745	119.026268498686	59.3952040685601	
0.383	108.338296413422	118.901468548043	59.3298424747887	
0.384	108.213126659393	118.776976819829	59.2538876033679	
0.385	108.087956905365	118.652792179642	59.1531478040186	
0.386	107.963383197784	118.528913498987	59.0373723382145	
0.387	107.839405536652	118.405171768019	58.9458311359538	
0.388	107.714831829071	118.281552030201	58.8809296264294	
0.389	107.590854167938	118.158236000068	58.9073125223998	
0.39	107.467472553253	118.035222567033	59.1544038342173	
0.391	107.344686985016	117.913215906856	59.330016086049	
0.392	107.223689556122	117.793061333058	59.2661250929353	
0.393	107.103288173676	117.673195187861	59.2011506056578	
0.394	106.983482837677	117.553616441635	59.0460788675578	
0.395	106.863081455231	117.434324069383	58.6657097553649	
0.396	106.74387216568	117.31531705097	58.2875632363265	
0.397	106.624066829681	117.196594370383	57.9135343872477	
0.398	106.504857540131	117.077549715942	57.6501816330776	
0.399	106.383860111237	116.957214617406	57.6422787774862	
0.4	106.262862682343	116.837203830397	59.1454739597769	
0.401	106.143057346344	116.717815539179	61.135363553296	
0.402	106.033980846405	116.609641888952	61.4148948869845	
0.403	105.927884578705	116.503873204801	61.3555208694926	
0.404	105.821788311005	116.398330910453	61.2962750031292	
0.405	105.715692043304	116.293014289824	61.2371568779074	
0.406	105.610191822052	116.187922629514	61.1781660850788	
0.407	105.5046916008	116.083055219568	61.1193022180314	
0.408	105.399191379547	115.978411352374	61.0605648717927	
0.409	105.294287204742	115.873990323914	61.0019536429495	
0.41	105.189383029938	115.769791432325	60.9434681297008	
0.411	105.085074901581	115.665813979586	60.9679153039721	
0.412	104.980170726776	115.562057269796	61.0780184025554	
0.413	104.876458644867	115.458928899071	61.1603861896934	
0.414	104.773342609406	115.356491411857	61.1697600965506	
0.415	104.67141866684	115.254721352876	61.112967903872	
0.416	104.568898677826	115.153166145672	61.0731890777007	
0.417	104.46697473526	115.051825115058	61.2154568233835	
